TU_RLTY_KID;Error;Error_text;KNum
4840399;0;;43:40:000025:537
4369339;0;;43:40:000011:102
4840535;0;;43:40:000011:102
4844403;0;;43:40:000000:1033
4373027;0;;43:40:000000:1033
4843605;0;;43:40:000000:608
4372279;0;;43:40:000000:608
4367507;0;;43:40:000000:3021
4838673;0;;43:40:000000:3021
4425199;0;;43:40:000000:1481
4349136;0;;43:40:000000:1481
4509137;0;;43:40:000014:100
4477581;0;;43:40:000014:101
4693051;0;;43:40:000038:3599
4425201;0;;43:40:000038:3600
4369595;0;;43:40:000038:3738
4840799;0;;43:40:000038:3738
4838675;0;;43:40:000052:446
4367509;0;;43:40:000052:446
4372397;0;;43:40:000109:359
4843739;0;;43:40:000109:359
4368125;0;;43:40:000038:1824
4839299;0;;43:40:000038:1824
4371207;0;;43:40:000038:1003
4842475;0;;43:40:000038:1011
4371055;0;;43:40:000190:295
4842323;0;;43:40:000190:295
4371619;0;;43:40:000040:1908
4842899;0;;43:40:000040:1908
4367609;0;;43:40:000020:2325
4838779;0;;43:40:000020:2325
4373369;0;;43:40:000038:1079
4844777;0;;43:40:000038:1079
4349138;0;;43:40:000021:1046
4464475;0;;43:40:000021:1046
4626521;0;;43:40:000021:1079
4614505;0;;43:40:000021:1088
4464477;0;;43:40:000021:1068
4765305;0;;43:40:000021:1069
4425203;0;;43:40:000025:229
4490185;0;;43:07:020111:618
4425205;0;;43:07:020111:335
4367501;0;;43:40:000000:1510
4838667;0;;43:40:000052:101
4368119;0;;43:40:000115:2622
4839293;0;;43:40:000115:2622
4843973;0;;43:40:003621:200
4372615;0;;43:40:003621:200
5862627;0;;43:40:003621:228
4840775;0;;43:40:003621:228
4369573;0;;43:40:003621:228
4842585;0;;43:40:002220:762
4371315;0;;43:40:002220:762
4370791;0;;43:40:003620:13
4842055;0;;43:40:003620:13
4841809;0;;43:40:003620:14
4370557;0;;43:40:003620:14
4367479;0;;43:40:003621:103
4838645;0;;43:40:003621:103
4527805;0;;43:40:002220:779
4803799;0;;43:40:002220:779
4807835;0;;43:40:002220:779
4632827;0;;43:40:002220:779
4565197;0;;43:40:002220:782
4813669;0;;43:40:002220:782
4770137;0;;43:40:002220:781
4552839;0;;43:40:002220:784
4527807;0;;43:40:002220:783
4802389;0;;43:40:002220:783
4876773;0;;43:40:000579:10
4876542;0;;43:40:000579:10
4844091;0;;43:40:003620:382
4372727;0;;43:40:003620:382
4845567;0;;43:40:000367:4198
4374113;1;Parse error;
4840507;1;Parse error;
4369311;0;;43:40:003620:21
4371033;0;;43:40:003620:609
4842301;0;;43:40:003620:609
4368083;0;;43:40:003611:707
4839257;0;;43:40:003611:707
4842883;0;;43:40:003620:574
4371603;0;;43:40:003620:574
4839657;0;;43:40:003620:15
4368477;0;;43:40:003620:15
4552811;0;;43:40:003620:362
4552813;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4626409;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4839791;0;;43:40:003620:16
4368609;0;;43:40:003620:16
4839537;0;;43:40:003620:369
4368359;0;;43:40:003620:369
4366353;0;;43:40:000367:3883
4837511;0;;43:40:000367:3883
4839931;0;;43:40:003620:383
4368747;0;;43:40:003620:383
4367205;0;;43:40:003620:637
4838367;0;;43:40:003620:637
4841333;0;;43:40:003621:210
4370109;0;;43:40:003621:210
4373809;0;;43:40:000116:1966
4845245;0;;43:40:000116:1966
4372997;0;;43:40:000416:172
4844373;0;;43:40:000416:172
4844093;0;;43:40:000416:1966
4372729;0;;43:40:000416:1966
4839261;0;;43:40:000416:1959
4368087;0;;43:40:000416:1959
4841045;0;;43:40:000416:114
4369833;0;;43:40:000416:114
4843349;0;;43:40:000562:294
4372041;0;;43:40:000562:294
4839259;0;;43:40:000562:511
4368085;0;;43:40:000562:511
4845243;0;;43:40:000416:311
4373807;0;;43:40:000416:311
4843239;0;;43:40:000416:125
4371933;0;;43:40:000416:125
4841927;0;;43:40:000562:262
4370665;0;;43:40:000562:262
4839933;0;;43:40:002411:189
4368749;0;;43:40:002411:189
4838649;0;;43:40:000607:15
4367483;0;;43:40:000607:15
4843475;0;;43:40:002200:1583
4372157;0;;43:40:002200:1583
4367487;0;;43:40:000607:193
4838653;0;;43:40:000607:193
4842887;0;;43:40:000116:1979
4371607;0;;43:40:000116:1979
4371325;0;;43:40:000607:198
4842595;0;;43:40:000607:197
4373601;0;;43:40:003621:300
4845025;0;;43:40:003621:300
4839935;0;;43:40:000604:169
4368751;0;;43:40:000604:169
4370345;0;;43:40:000173:345
4841573;0;;43:40:000173:345
4842597;0;;43:40:000607:100
4371327;0;;43:40:000607:100
4372851;0;;43:40:000607:99
4844225;0;;43:40:000607:99
4839003;0;;43:40:000607:102
4367833;0;;43:40:000607:102
4844507;0;;43:40:000604:178
4373121;0;;43:40:000604:178
4366357;0;;43:40:000607:114
4837515;0;;43:40:000607:114
4373599;0;;43:40:000604:21
4845023;0;;43:40:000604:21
4843977;0;;43:40:000604:348
4372619;0;;43:40:000604:348
4838377;0;;43:40:000607:119
4367215;0;;43:40:000607:119
4845467;0;;43:40:000607:128
4374019;0;;43:40:000607:128
4397677;0;;43:40:000608:32
4397679;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4546715;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
4842599;0;;43:40:000604:183
4371329;0;;43:40:000604:183
4366359;0;;43:40:000608:118
4837517;0;;43:40:000608:118
4845029;0;;43:40:000608:10
4373605;0;;43:40:000608:10
4371319;0;;43:40:002200:1491
4842589;0;;43:40:002200:1491
4368611;0;;43:40:000607:76
4839793;0;;43:40:000607:76
4837955;0;;43:40:000607:138
4366797;0;;43:40:000607:138
4837843;0;;43:40:003622:176
4366685;0;;43:40:003622:176
4844643;0;;43:40:003622:176
4370111;0;;43:40:000604:147
4841335;0;;43:40:000604:147
4372853;0;;43:40:000608:120
4844227;0;;43:40:000608:120
4843865;0;;43:40:000605:25
4372513;0;;43:40:000605:25
4845249;0;;43:40:000608:33
4373813;0;;43:40:000608:33
4373359;0;;43:40:000607:139
4844767;0;;43:40:000607:139
4372507;1;Объект по этому адресу не найден. Попробуйте сделать расширенный поиск по адресу.;
